"id","category_id","category","name","manufacturer","url","min_price","max_price","average_rating","review_count","review_tags","review_rating_distribution","review_platform_distribution","price_trend","specifications","conformity_certification","safety_certification","product_code","updated_at","unit_price"
2,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,계몽사 디즈니 그림 명작 (세트(60권)),계몽사,https://prod.danawa.com/info/?pcode=20876801&cate=16353679,297000,297000,4.80,42,"{아이,내용,그림,만족,저렴,가격,선물,추천,아들,엄마,시리즈,재미,관심,학교,구성,흥미}","{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 3, ""5"": 38}","{""옥션"": 2, ""G마켓"": 11, ""인터파크"": 2, ""롯데백화점"": 27}","[{""date"": ""25.11.04"", ""price"": 297000, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 297000, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 297000, ""period"": ""6개월""}, {""date"": ""24.12"", ""price"": 297000, ""period"": ""12개월""}, {""date"": ""24.04"", ""price"": 297000, ""period"": ""24개월""}]","{""대상"": {""유아용"": true}, ""품목"": {""그림책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""계몽사"", ""등록년월"": ""2020년 03월"", ""제조회사"": ""계몽사""}",,,"20876801",2025-11-26 17:40:21.941,
3,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,비룡소 개구쟁이 아치 세트 (세트(20권)),비룡소,https://prod.danawa.com/info/?pcode=20862437&cate=16353679,67500,135000,4.80,55,"{아이,내용,그림,만족,저렴,아기,가격,선물,추천,아들,엄마,시리즈,재미,관심,학교,비룡소}","{""1"": 0, ""2"": 1, ""3"": 1, ""4"": 5, ""5"": 48}","{""GS샵"": 21, ""옥션"": 15, ""G마켓"": 7, ""SSG.COM"": 1, ""11번가"": 3, ""위메프"": 1, ""인터파크"": 2, ""롯데홈쇼핑"": 5}","[{""date"": ""25.11.04"", ""price"": 67500, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 67500, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 67500, ""period"": ""6개월""}, {""date"": ""24.12"", ""price"": 67500, ""period"": ""12개월""}, {""date"": ""24.01"", ""price"": 67500, ""period"": ""24개월""}]","{""대상"": {""유아용"": true}, ""수량"": {""수량"": ""20권""}, ""품목"": {""그림책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""시리즈"": {""시리즈명"": ""'아치'시리즈""}, ""manufacturer"": ""비룡소"", ""대상연령"": {""대상연령"": ""2~5세""}, ""등록년월"": ""2012년 08월"", ""제조회사"": ""비룡소""}",,,"20862437",2025-11-26 17:42:20.240,
4,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,글송이 텐텐북스 (시리즈선택),글송이,https://prod.danawa.com/info/?pcode=20863481&cate=16353679,8550,8550,4.70,112,"{아이,내용,그림,만족,저렴,가격,선물,추천,아들,엄마,시리즈,재미,관심,학교,비룡소,구성}","{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 24, ""5"": 85}","{""GS샵"": 21, ""옥션"": 12, ""G마켓"": 60, ""11번가"": 5, ""인터파크"": 2}","[{""date"": ""25.11.04"", ""price"": 8550, ""period"": ""1개월""}, {""date"": ""09.16"", ""price"": 7960, ""period"": ""3개월""}, {""date"": ""25.09"", ""price"": 7960, ""period"": ""6개월""}, {""date"": ""25.09"", ""price"": 7960, ""period"": ""12개월""}, {""date"": ""25.09"", ""price"": 7960, ""period"": ""24개월""}]","{""대상"": {""초등용"": true}, ""장르"": {""창작"": true}, ""품목"": {""동화책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""글송이"", ""대상연령"": {""대상연령"": ""8세부터""}, ""등록년월"": ""2013년 06월"", ""제조회사"": ""글송이""}",,,"20863481",2025-11-26 17:44:40.104,
5,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,키즈엠 7세를 위한 부엉이 북클럽 패키지,키즈엠,https://prod.danawa.com/info/?pcode=20875817&cate=16353679,72000,72000,,,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}","{}","[{""date"": ""25.11.04"", ""price"": 72000, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 72000, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 72000, ""period"": ""6개월""}, {""date"": ""25.04"", ""price"": 72000, ""period"": ""12개월""}, {""date"": ""25.04"", ""price"": 72000, ""period"": ""24개월""}]","{""품목"": {""그림책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""키즈엠"", ""대상연령"": {""대상연령"": ""7세부터""}, ""등록년월"": ""2020년 03월"", ""제조회사"": ""키즈엠""}",,,"20875817",2025-11-26 17:47:19.319,
6,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,시공주니어 네버랜드 클래식 (세트(50권)),시공주니어,https://prod.danawa.com/info/?pcode=20861639&cate=16353679,445500,486000,4.80,169,"{아이,내용,그림,만족,저렴,가격,선물,추천,아들,엄마,시리즈,재미,관심,학교,비룡소,구성}","{""1"": 1, ""2"": 1, ""3"": 3, ""4"": 17, ""5"": 147}","{""GS샵"": 25, ""옥션"": 10, ""G마켓"": 40, ""SSG.COM"": 10, ""11번가"": 1, ""신세계몰"": 5, ""인터파크"": 2, ""CJ온스타일"": 1, ""이마트인터넷쇼핑몰"": 6}","[{""date"": ""25.11.04"", ""price"": 436000, ""period"": ""1개월""}, {""date"": ""11.04"", ""price"": 436000, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 433800, ""period"": ""6개월""}, {""date"": ""25.05"", ""price"": 433800, ""period"": ""12개월""}, {""date"": ""24.01"", ""price"": 391298, ""period"": ""24개월""}]","{""대상"": {""초등용"": true}, ""장르"": {""명작"": true}, ""품목"": {""동화책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""시공주니어"", ""대상연령"": {""대상연령"": ""10세부터""}, ""등록년월"": ""2020년 04월"", ""제조회사"": ""시공주니어""}",,,"20861639",2025-11-26 17:49:38.912,
7,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,한국톨스토이 리틀 성경 동화 (세트(62권)),한국톨스토이,https://prod.danawa.com/info/?pcode=20862491&cate=16353679,280000,306000,4.70,77,"{아이,내용,그림,만족,저렴,아기,가격,선물,추천,아들,엄마,재미,관심,학교,비룡소,구성}","{""1"": 0, ""2"": 0, ""3"": 3, ""4"": 10, ""5"": 64}","{""GS샵"": 8, ""11번가"": 69}","[{""date"": ""25.11.04"", ""price"": 280000, ""period"": ""1개월""}, {""date"": ""09.16"", ""price"": 260400, ""period"": ""3개월""}, {""date"": ""25.09"", ""price"": 260400, ""period"": ""6개월""}, {""date"": ""25.09"", ""price"": 260400, ""period"": ""12개월""}, {""date"": ""24.06"", ""price"": 216720, ""period"": ""24개월""}]","{""대상"": {""유아용"": true}, ""품목"": {""동화책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""한국톨스토이"", ""대상연령"": {""대상연령"": ""5~7세""}, ""등록년월"": ""2013년 03월"", ""제조회사"": ""한국톨스토이""}",,,"20862491",2025-11-26 17:51:47.938,
8,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,북극곰 칙칙폭폭 동물 기차,북극곰,https://prod.danawa.com/info/?pcode=20870642&cate=16353679,12140,12510,,,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}","{}","[{""date"": ""25.11.11"", ""price"": 11640, ""period"": ""1개월""}, {""date"": ""11.11"", ""price"": 11640, ""period"": ""3개월""}, {""date"": ""25.11"", ""price"": 11640, ""period"": ""6개월""}, {""date"": ""25.11"", ""price"": 11640, ""period"": ""12개월""}, {""date"": ""24.10"", ""price"": 11225, ""period"": ""24개월""}]","{""대상"": {""유아용"": true}, ""품목"": {""그림책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""북극곰"", ""등록년월"": ""2017년 05월"", ""제조회사"": ""북극곰""}",,,"20870642",2025-11-26 17:54:25.453,
9,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,키다리 그림책 (세트(5권)),키다리,https://prod.danawa.com/info/?pcode=20864081&cate=16353679,36000,59850,4.50,2,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1}","{""G마켓"": 2}","[{""date"": ""25.11.04"", ""price"": 36000, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 36000, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 36000, ""period"": ""6개월""}, {""date"": ""24.12"", ""price"": 36000, ""period"": ""12개월""}, {""date"": ""24.04"", ""price"": 25800, ""period"": ""24개월""}]","{""대상"": {""유아용"": true}, ""수량"": {""수량"": ""5권""}, ""장르"": {""창작"": true}, ""품목"": {""그림책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""키다리"", ""대상연령"": {""대상연령"": ""0~3세""}, ""등록년월"": ""2014년 03월"", ""제조회사"": ""키다리""}",,,"20864081",2025-11-26 17:56:21.860,
10,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 그림/동화책,책읽는곰 그림책이 참 좋아 A세트 1-31권 세트,책읽는곰,https://prod.danawa.com/info/?pcode=20876264&cate=16353679,317250,317250,4.70,34,"{아이,내용,그림,만족,저렴,아기,가격,선물,추천,아들,엄마,시리즈,재미,관심,학교,비룡소}","{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 7, ""5"": 26}","{""G마켓"": 32, ""인터파크"": 2}","[{""date"": ""25.11.04"", ""price"": 317250, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 317250, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 317250, ""period"": ""6개월""}, {""date"": ""24.12"", ""price"": 317250, ""period"": ""12개월""}, {""date"": ""24.06"", ""price"": 272840, ""period"": ""24개월""}]","{""품목"": {""그림,동화책"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""책읽는곰"", ""등록년월"": ""2020년 12월"", ""제조회사"": ""책읽는곰""}",,,"20876264",2025-11-26 17:58:09.482,
38,4,홈 > 식품/유아/완구 > 유아의류/신발/도서 > 그림/동화/놀이책 > 학습벽보/차트,디지털 배경 카탈로그 학교 편,,https://prod.danawa.com/info/?pcode=25667330&cate=16353681,22500,22500,,,{},"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}","{}","[{""date"": ""25.11.04"", ""price"": 22500, ""period"": ""1개월""}, {""date"": ""09.09"", ""price"": 22500, ""period"": ""3개월""}, {""date"": ""25.06"", ""price"": 22500, ""period"": ""6개월""}, {""date"": ""24.12"", ""price"": 22500, ""period"": ""12개월""}, {""date"": ""24.01"", ""price"": 22500, ""period"": ""24개월""}]","{""품목"": {""학습벽보/차트"": true, ""그림/동화/놀이책"": true, ""유아동의류/잡화/도서"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""등록년월"": ""2018년 05월""}",,,"25667330",2025-11-26 18:55:43.050,
